CollateralID,NetworkID,NetworkContractAddress,Symbol,Stake,USDStake,Percentage,Limit,UtilizationPercent,UnderlyingAsset,TotalVaults
wstETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,wstETH,73783.14626719872,180043771.00320855,75.9,143239.0,51.51,ETH,9
LBTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,LBTC,249.99999999,21518882.485815987,9.1,250.0,100.0,ETH,1
WBTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,WBTC,157.19409039,13530564.634809807,5.7,19100000000000.01,0.0,BTC,2
swETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,swETH,2542.232604600365,5696147.236084465,2.4,56044.0,4.54,ETH,1
cbETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,cbETH,2281.365105882261,5070401.7007499775,2.1,55128.0,4.14,ETH,1
lvlwaUSDC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,lvlwaUSDC,4000000.0,3995657.6160971522,1.7,4000000.0,100.0,USD,1
wBETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,wBETH,1128.4116295129063,2266554.776431418,1.0,56499.0,2.0,ETH,1
osETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,osETH,1006.2021029827075,2236314.056486242,0.9,3000.0,33.54,ETH,1
rETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,rETH,753.044752082196,1730016.9655411758,0.7,59857.0,1.26,ETH,1
lvlwaUSDT,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,lvlwaUSDT,1000000.0,999031.4962478379,0.4,1000000.0,100.0,USD,1
