StakeID,NetworkID,NetworkContractAddress,OperatorID,OperatorContractAddress,CollateralID,Stake,USDStake
P2P_org_wstETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,P2P_org,0x087c25f83ED20bda587CFA035ED0c96338D4660f,wstETH,25643.480640831207,62574574.137882106
P2P_org_WBTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,P2P_org,0x087c25f83ED20bda587CFA035ED0c96338D4660f,WBTC,17.47587671,1504245.3490965639
P2P_org_swETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,P2P_org,0x087c25f83ED20bda587CFA035ED0c96338D4660f,swETH,508.446520920073,1139229.447216893
P2P_org_cbETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,P2P_org,0x087c25f83ED20bda587CFA035ED0c96338D4660f,cbETH,456.2730211764522,1014080.3401499954
P2P_org_wBETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,P2P_org,0x087c25f83ED20bda587CFA035ED0c96338D4660f,wBETH,225.68232590258125,453310.9552862836
P2P_org_rETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,P2P_org,0x087c25f83ED20bda587CFA035ED0c96338D4660f,rETH,150.6089504164392,346003.39310823515
P2P_org_LBTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,P2P_org,0x087c25f83ED20bda587CFA035ED0c96338D4660f,LBTC,83.33333333,7172960.828605329
P2P_org_lvlwaUSDC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,P2P_org,0x087c25f83ED20bda587CFA035ED0c96338D4660f,lvlwaUSDC,4000000.0,3995657.6160971522
P2P_org_lvlwaUSDT,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,P2P_org,0x087c25f83ED20bda587CFA035ED0c96338D4660f,lvlwaUSDT,1000000.0,999031.4962478379
Pier Two_wstETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Pier Two,0x51B6D824bd35AeD4FD1a9E253E41Dc7C9feeFa30,wstETH,13210.951402497823,32237030.12652973
Pier Two_WBTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Pier Two,0x51B6D824bd35AeD4FD1a9E253E41Dc7C9feeFa30,WBTC,17.46477671,1503289.9107141555
Pier Two_swETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Pier Two,0x51B6D824bd35AeD4FD1a9E253E41Dc7C9feeFa30,swETH,508.446520920073,1139229.447216893
Pier Two_cbETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Pier Two,0x51B6D824bd35AeD4FD1a9E253E41Dc7C9feeFa30,cbETH,456.2730211764522,1014080.3401499954
Pier Two_wBETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Pier Two,0x51B6D824bd35AeD4FD1a9E253E41Dc7C9feeFa30,wBETH,225.68232590258125,453310.9552862836
Pier Two_rETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Pier Two,0x51B6D824bd35AeD4FD1a9E253E41Dc7C9feeFa30,rETH,150.6089504164392,346003.39310823515
Pier Two_LBTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Pier Two,0x51B6D824bd35AeD4FD1a9E253E41Dc7C9feeFa30,LBTC,83.33333333,7172960.828605329
Luganodes_wstETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Luganodes,0xAC128Aa884c64cbE6Afecf5c006D51C2bb1Bf819,wstETH,11960.951402497823,29186811.68044997
Luganodes_WBTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Luganodes,0xAC128Aa884c64cbE6Afecf5c006D51C2bb1Bf819,WBTC,17.46477671,1503289.9107141555
Luganodes_swETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Luganodes,0xAC128Aa884c64cbE6Afecf5c006D51C2bb1Bf819,swETH,508.446520920073,1139229.447216893
Luganodes_cbETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Luganodes,0xAC128Aa884c64cbE6Afecf5c006D51C2bb1Bf819,cbETH,456.2730211764522,1014080.3401499954
Luganodes_wBETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Luganodes,0xAC128Aa884c64cbE6Afecf5c006D51C2bb1Bf819,wBETH,225.68232590258125,453310.9552862836
Luganodes_rETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Luganodes,0xAC128Aa884c64cbE6Afecf5c006D51C2bb1Bf819,rETH,150.6089504164392,346003.39310823515
Chorus One_wstETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Chorus One,0xd741F826c60DaCEBB8835278E0F18f1C5DD4c6d0,wstETH,10478.797282494463,25570096.611036077
Chorus One_WBTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Chorus One,0xd741F826c60DaCEBB8835278E0F18f1C5DD4c6d0,WBTC,17.46477671,1503289.9107141555
Chorus One_swETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Chorus One,0xd741F826c60DaCEBB8835278E0F18f1C5DD4c6d0,swETH,508.446520920073,1139229.447216893
Chorus One_cbETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Chorus One,0xd741F826c60DaCEBB8835278E0F18f1C5DD4c6d0,cbETH,456.2730211764522,1014080.3401499954
Chorus One_wBETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Chorus One,0xd741F826c60DaCEBB8835278E0F18f1C5DD4c6d0,wBETH,225.68232590258125,453310.9552862836
Chorus One_rETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Chorus One,0xd741F826c60DaCEBB8835278E0F18f1C5DD4c6d0,rETH,150.6089504164392,346003.39310823515
Chorus One_osETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Chorus One,0xd741F826c60DaCEBB8835278E0F18f1C5DD4c6d0,osETH,1006.2021029827075,2236314.056486242
Kiln_wstETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Kiln,0xfF645D02C79141424fb4F8bBB5e494f05067c08B,wstETH,5406.304538369855,13192327.862448374
Kiln_WBTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Kiln,0xfF645D02C79141424fb4F8bBB5e494f05067c08B,WBTC,17.46477671,1503289.9107141555
Kiln_swETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Kiln,0xfF645D02C79141424fb4F8bBB5e494f05067c08B,swETH,508.446520920073,1139229.447216893
Kiln_cbETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Kiln,0xfF645D02C79141424fb4F8bBB5e494f05067c08B,cbETH,456.2730211764522,1014080.3401499954
Kiln_wBETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Kiln,0xfF645D02C79141424fb4F8bBB5e494f05067c08B,wBETH,225.68232590258125,453310.9552862836
Kiln_rETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Kiln,0xfF645D02C79141424fb4F8bBB5e494f05067c08B,rETH,150.6089504164392,346003.39310823515
Kiln_LBTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Kiln,0xfF645D02C79141424fb4F8bBB5e494f05067c08B,LBTC,83.33333333,7172960.828605329
Nodeinfra_wstETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Nodeinfra,0x9321d38c355d1D8cB9dbfC05a5c0f347b1DDa46a,wstETH,5793.894900456793,14138116.080016622
cp0x by STAKR_space_wstETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,cp0x by STAKR_space,0x9766e9e3045a8cEd5E1fa5B72AEEeEC9D74D00d0,wstETH,645.0,1573912.7181771572
blockscape_wstETH,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,blockscape,0xfd42c11Bf9518A078445b04857B205Fee688b133,wstETH,643.7661000507547,1570901.7866685137
Everstake_WBTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Everstake,0x6f64DeCffDE23AA598724325202f8324c231A682,WBTC,17.46477671,1503289.9107141555
Stakely_WBTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Stakely,0x57A58ff6f5724d29C05a4d0B29d07b82817C50D5,WBTC,17.46477671,1503289.9107141555
Stakin_WBTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Stakin,0x5d24dBA4ccdE2C5B7bC5b609c6a3D5150acB9447,WBTC,17.46477671,1503289.9107141555
Finoa Consensus Services_WBTC,Ditto Network,0x8560C667Ae72F28D09465B342A480daB28821f6b,Finoa Consensus Services,0x2A21EaAe1519D852296a158549416442fbb1fdD2,WBTC,17.46477671,1503289.9107141555
